VATyp;VA_Nr_(KT);Datum_von;Datum_bis;Dauer;Veranstaltungsstätte;VA_Raum;VA_Buchung_Name;Buchungsstatus;Veranstalter_1;VA_RaumFläche;Aktivitätsstatus
MV;12330;12.12.2024 14:00;12.12.2024 22:45;8,75;FFK;Französische Friedrichstadtkirche;Candlelight Konzert;Vtg ok;Kzemos Germany GmbH;0;Veranstaltung allgemein
MV;12330;12.12.2024 14:00;12.12.2024 22:45;8,75;FFK;Saal;Candlelight Konzert;Vtg ok;Kzemos Germany GmbH;720;Veranstaltung allgemein
MV;12330;12.12.2024 14:00;12.12.2024 22:45;8,75;FFK;Entrée;Candlelight Konzert;Vtg ok;Kzemos Germany GmbH;24;Veranstaltung allgemein
MV;12330;12.12.2024 14:00;12.12.2024 22:45;8,75;FFK;Salon Godet;Candlelight Konzert;Vtg ok;Kzemos Germany GmbH;22;Veranstaltung allgemein
MV;12330;13.12.2024 15:00;13.12.2024 23:45;8,75;FFK;Französische Friedrichstadtkirche;Candlelight Konzert;Vtg ok;Kzemos Germany GmbH;0;Veranstaltung allgemein
MV;12330;13.12.2024 15:00;13.12.2024 23:45;8,75;FFK;Saal;Candlelight Konzert;Vtg ok;Kzemos Germany GmbH;720;Veranstaltung allgemein
MV;12330;13.12.2024 15:00;13.12.2024 23:45;8,75;FFK;Entrée;Candlelight Konzert;Vtg ok;Kzemos Germany GmbH;24;Veranstaltung allgemein
MV;12330;13.12.2024 15:00;13.12.2024 23:45;8,75;FFK;Salon Godet;Candlelight Konzert;Vtg ok;Kzemos Germany GmbH;22;Veranstaltung allgemein
EV;;04.07.2024 08:00;04.07.2024 13:00;5;FFK;Französische Friedrichstadtkirche;Tour der BESONDEREN ORTE;Fix;;0;Veranstaltung allgemein
EV;;04.07.2024 08:00;04.07.2024 13:00;5;FFK;Saal;Tour der BESONDEREN ORTE;Fix;;720;Veranstaltung allgemein
EV;;17.07.2024 09:00;17.07.2024 17:00;8;FFK;Französische Friedrichstadtkirche;Fotoshooting TW + FFK;Fix;;0;Veranstaltung allgemein
EV;;17.07.2024 09:00;17.07.2024 17:00;8;FFK;Saal;Fotoshooting TW + FFK;Fix;;720;Veranstaltung allgemein
MV;12294;11.09.2024 12:00;11.09.2024 19:00;7;FFK;Französische Friedrichstadtkirche;3. Ortskräftekongress;Vtg ok;Evangelische Akademie zu Berlin gGmbH;0;Veranstaltung allgemein
MV;12294;11.09.2024 12:00;11.09.2024 19:00;7;FFK;Saal;3. Ortskräftekongress;Vtg ok;Evangelische Akademie zu Berlin gGmbH;720;Veranstaltung allgemein
EV;12245;08.07.2024 08:00;08.07.2024 17:00;9;FFK;Restaurant Hugo & Notte;Visions workshop Part 2;Fix;BESONDERE ORTE Umweltforum Berlin GmbH;160;Veranstaltung allgemein
EV;12245;08.07.2024 08:00;08.07.2024 17:00;9;FFK;Rotunde;Visions workshop Part 2;Fix;BESONDERE ORTE Umweltforum Berlin GmbH;87;Veranstaltung allgemein
EV;;21.07.2024 08:00;21.07.2024 18:00;10;FFK;Französische Friedrichstadtkirche;Workshop nachhaltigere Menügestaltung;Fix;BESONDERE ORTE Umweltforum Berlin GmbH;0;Veranstaltung allgemein
MV;12247;31.05.2024 16:30;31.05.2024 22:30;6;FFK;Französische Friedrichstadtkirche;Konzert;Vtg ok;Berlin Klassik Artist & Culture Management;0;Veranstaltung allgemein
MV;12247;31.05.2024 16:30;31.05.2024 22:30;6;FFK;Saal;Konzert;Vtg ok;Berlin Klassik Artist & Culture Management;720;Veranstaltung allgemein
MV;12247;31.05.2024 16:30;31.05.2024 22:30;6;FFK;Georges-Casalis-Saal;Konzert;Vtg ok;Berlin Klassik Artist & Culture Management;160;Veranstaltung allgemein
MV;12247;31.05.2024 16:30;31.05.2024 22:30;6;FFK;Salon Godet;Konzert;Vtg ok;Berlin Klassik Artist & Culture Management;22;Veranstaltung allgemein
EV;;22.07.2024 08:00;22.07.2024 18:00;10;FFK;Französische Friedrichstadtkirche;Workshop nachhaltigere Menügestaltung;Fix;BESONDERE ORTE Umweltforum Berlin GmbH;0;Veranstaltung allgemein
MV;12292;15.12.2024 14:30;15.12.2024 19:30;5;FFK;Französische Friedrichstadtkirche;„Charms of Christmas“;Vtg ok;Konzertbüro Hannah Schlubeck;0;Veranstaltung allgemein
MV;12292;15.12.2024 14:30;15.12.2024 19:30;5;FFK;Saal;„Charms of Christmas“;Vtg ok;Konzertbüro Hannah Schlubeck;720;Veranstaltung allgemein
MV;12292;15.12.2024 14:30;15.12.2024 19:30;5;FFK;Salon Godet;„Charms of Christmas“;Vtg ok;Konzertbüro Hannah Schlubeck;22;Veranstaltung allgemein
EV;12245;08.07.2024 08:00;08.07.2024 17:00;9;FFK;Französische Friedrichstadtkirche;Visions workshop Part 2;Fix;BESONDERE ORTE Umweltforum Berlin GmbH;0;Veranstaltung allgemein
EV;12245;08.07.2024 08:00;08.07.2024 17:00;9;FFK;Georges-Casalis-Saal;Visions workshop Part 2;Fix;BESONDERE ORTE Umweltforum Berlin GmbH;160;Veranstaltung allgemein
MV;12267;27.11.2024 13:00;27.11.2024 22:00;9;FFK;Französische Friedrichstadtkirche;Mitgliederversammlung 2024;Vtg ok;Deutscher Paritätischer Wohlfahrtsverband Landesverband Berlin e.V.;0;Veranstaltung allgemein
MV;12267;27.11.2024 13:00;27.11.2024 22:00;9;FFK;Saal;Mitgliederversammlung 2024;Vtg ok;Deutscher Paritätischer Wohlfahrtsverband Landesverband Berlin e.V.;720;Veranstaltung allgemein
MV;12267;27.11.2024 13:00;27.11.2024 22:00;9;FFK;Georges-Casalis-Saal;Mitgliederversammlung 2024;Vtg ok;Deutscher Paritätischer Wohlfahrtsverband Landesverband Berlin e.V.;160;Veranstaltung allgemein
MV;12267;27.11.2024 13:00;27.11.2024 22:00;9;FFK;Entrée;Mitgliederversammlung 2024;Vtg ok;Deutscher Paritätischer Wohlfahrtsverband Landesverband Berlin e.V.;24;Veranstaltung allgemein
MV;12267;27.11.2024 13:00;27.11.2024 22:00;9;FFK;Rotunde;Mitgliederversammlung 2024;Vtg ok;Deutscher Paritätischer Wohlfahrtsverband Landesverband Berlin e.V.;87;Veranstaltung allgemein
MV;12267;27.11.2024 13:00;27.11.2024 22:00;9;FFK;Restaurant Hugo & Notte;Mitgliederversammlung 2024;Vtg ok;Deutscher Paritätischer Wohlfahrtsverband Landesverband Berlin e.V.;160;Veranstaltung allgemein
EV;;29.05.2024 08:00;29.05.2024 10:30;2,5;FFK;Französische Friedrichstadtkirche;Stiftung AußerGewöhnlich;Zus;;0;Veranstaltung allgemein
EV;;29.05.2024 08:00;29.05.2024 10:30;2,5;FFK;Saal;Stiftung AußerGewöhnlich;Zus;;720;Veranstaltung allgemein
EV;;29.05.2024 08:00;29.05.2024 10:30;2,5;FFK;Rotunde;Stiftung AußerGewöhnlich;Zus;;87;Veranstaltung allgemein
EV;;29.05.2024 08:00;29.05.2024 10:30;2,5;FFK;Restaurant Hugo & Notte;Stiftung AußerGewöhnlich;Zus;;160;Veranstaltung allgemein
MV;12191;25.04.2024 19:30;25.04.2024 20:30;1;FFK;Saal;Catering Hauptversammlung Reformierter Bund;Zus;Reformierter Bund in Deutschland;720;Veranstaltung allgemein
